"Year","Exploratory","EP_PlotID","isVIP","isMIP","TotalGrazing","TotalMowing","TotalFertilization","Grazing_categorical","Grazing_standardized","Fertilization_standardized","Mowing_standardized","LUI"
"2006","ALB","AEG1",TRUE,"yes",0,2,50,NA,0,0.115473441108545,0.5,0.205157813702848
"2006","ALB","AEG2",TRUE,"yes",0,3,196.9,NA,0,0.45473441108545,0.75,0.401578137028483
"2006","ALB","AEG3",TRUE,"yes",0,2,64.6,NA,0,0.14919168591224,0.5,0.216397228637413
"2006","ALB","AEG4",TRUE,"yes",110.706150341686,1,50,"normal",0.067332681403965,0.115473441108545,0.25,0.14426870750417
"2006","ALB","AEG5",TRUE,"yes",113.75,1,50,"normal",0.069183983781044,0.115473441108545,0.25,0.14488580829653
"2006","ALB","AEG6",TRUE,"yes",414.375,1,50,"normal",0.252027369488089,0.115473441108545,0.25,0.205833603532211
"2006","ALB","AEG28",FALSE,"no",52.2908366533865,0,0,"low",0.0318038540213197,0,0,0.0106012846737732
"2006","ALB","AEG29",FALSE,"no",50.3682719546742,1,19.8,"low",0.0306345293186056,0.0457274826789838,0.25,0.10878733733253
"2006","ALB","AEG30",FALSE,"yes",124.087591240876,0,0,"normal",0.075471418899671,0,0,0.0251571396332237
"2006","ALB","AEG31",FALSE,"yes",59.5794392523364,0,0,"low",0.0362368611772953,0,0,0.0120789537257651
"2006","ALB","AEG32",FALSE,"no",36.4077669902913,0,0,"low",0.0221435987776733,0,0,0.00738119959255778
"2006","ALB","AEG33",FALSE,"yes",77.6196636481242,0,0,"low",0.047209121326786,0,0,0.0157363737755953
"2006","ALB","AEG34",FALSE,"no",56.8181818181818,0,0,"low",0.0345574344560659,0,0,0.0115191448186886
"2006","ALB","AEG35",FALSE,"no",0,2,35,NA,0,0.0808314087759815,0.5,0.193610469591994
"2006","ALB","AEG36",FALSE,"no",0,2,35,NA,0,0.0808314087759815,0.5,0.193610469591994
"2006","ALB","AEG37",FALSE,"no",0,2,50,NA,0,0.115473441108545,0.5,0.205157813702848
"2006","ALB","AEG38",FALSE,"yes",0,2,32.3,NA,0,0.0745958429561201,0.5,0.19153194765204
"2006","ALB","AEG39",FALSE,"yes",0,2,50,NA,0,0.115473441108545,0.5,0.205157813702848
"2006","ALB","AEG40",FALSE,"no",0,2,42.57,NA,0,0.0983140877598152,0.5,0.199438029253272
"2006","ALB","AEG41",FALSE,"no",0,3,78.45,NA,0,0.181177829099307,0.75,0.310392609699769
"2006","ALB","AEG42",FALSE,"no",354.330708661417,1,64.6,"normal",0.215507780229954,0.14919168591224,0.25,0.204899822047398
"2006","ALB","AEG43",FALSE,"no",200,1,54.91,"normal",0.121642169285352,0.126812933025404,0.25,0.166151700770252
"2006","ALB","AEG44",FALSE,"yes",372.413793103448,0,0,"normal",0.226506108324448,0,0,0.0755020361081495
"2006","ALB","AEG45",FALSE,"yes",0,2,0,NA,0,0,0.5,0.166666666666667
"2006","ALB","AEG7",TRUE,"yes",34.2857142857143,0,0,"low",0.0208529433060604,0,0,0.00695098110202012
"2006","ALB","AEG8",TRUE,"yes",135.802469135802,0,0,"normal",0.0825965346999301,0,0,0.02753217823331
"2006","ALB","AEG9",TRUE,"yes",29.0556900726392,0,0,"low",0.0176719858525935,0,0,0.0058906619508645
"2006","ALB","AEG10",FALSE,"yes",0,1,0,NA,0,0,0.25,0.0833333333333333
"2006","ALB","AEG11",FALSE,"no",0,2,35,NA,0,0.0808314087759815,0.5,0.193610469591994
"2006","ALB","AEG12",FALSE,"no",0,2,50,NA,0,0.115473441108545,0.5,0.205157813702848
"2006","ALB","AEG13",FALSE,"no",0,2,50,NA,0,0.115473441108545,0.5,0.205157813702848
"2006","ALB","AEG14",FALSE,"no",0,2,124.6,NA,0,0.287759815242494,0.5,0.262586605080831
"2006","ALB","AEG15",FALSE,"yes",0,3,129.2,NA,0,0.29838337182448,0.75,0.349461123941493
"2006","ALB","AEG16",FALSE,"no",135.495945102932,1,47.3,"normal",0.0824101034584481,0.109237875288684,0.25,0.147215992915711
"2006","ALB","AEG17",FALSE,"no",0,3,80.75,NA,0,0.1864896073903,0.75,0.312163202463433
"2006","ALB","AEG18",FALSE,"yes",0,3,189.2,NA,0,0.436951501154734,0.75,0.395650500384912
"2006","ALB","AEG19",FALSE,"no",258.479532163743,1,50,"normal",0.157210055041303,0.115473441108545,0.25,0.174227832049949
"2006","ALB","AEG20",FALSE,"yes",316.438356164384,0,50,"normal",0.192461240444633,0.115473441108545,0,0.102644893851059
